Mods count: 355
 
jar name                                                                              | mod id (isMCreator)                                      | mixin configs
fmlloader-1.20.1-47.4.0.jar (modloader)                                               | forge                                                    | 
abnormals_delight-1.20.1-5.0.1.jar                                                    | abnormals_delight                                        | abnormals_delight.mixins.json
ad_astra-forge-1.20.1-1.15.19.jar                                                     | ad_astra                                                 | adastra.mixins.json, adastra-common.mixins.json
    /META-INF/jars/jlayer-1.0.1.jar                                                   |                                                          | 
AI-Improvements-1.20-0.5.2.jar                                                        | aiimprovements                                           | 
alexscaves-2.0.2.jar                                                                  | alexscaves                                               | citadel.mixins.json, alexscaves.mixins.json
alexsmobs-1.22.9.jar                                                                  | alexsmobs                                                | citadel.mixins.json
allurement-1.20.1-4.0.0.jar                                                           | allurement                                               | allurement.mixins.json
AlwaysEat-5.2.jar                                                                     | salwayseat                                               | 
AmbientEnvironment-forge-1.20.1-11.0.0.1.jar                                          | ambientenvironment                                       | ambientenvironment.mixins.json
amendments-1.20-2.0.7.jar                                                             | amendments                                               | amendments-common.mixins.json, amendments.mixins.json
antique-atlas-2.11.2+1.20.jar                                                         | antique_atlas                                            | antique_atlas.mixins.json
Aquaculture-1.20.1-2.5.5.jar                                                          | aquaculture                                              | 
aquaculturedelight-1.1.1-forge-1.20.1.jar                                             | aquaculturedelight (MCreator mod)                        | 
ArcheryExpansion-forge-1.20.1-1.0.6-all.jar                                           | archeryexp                                               | archeryexp.forge.mixins.json, archeryexp.mixins.json
archexpsquared-0.3.0.jar                                                              | archexpsquared                                           | 
Architects-Palette-1.20.1-1.3.6.1.jar                                                 | architects_palette                                       | architects_palette.mixins.json
architectury-9.2.14-forge.jar                                                         | architectury                                             | architectury.mixins.json, architectury-common.mixins.json
armorcurve-3.0.jar                                                                    | armorcurve                                               | armorcurve.mixins.json
async-pack-scan-0.2.0.jar                                                             | async-pack-scan                                          | async-pack-scan.mixins.json, async-pack-scan.client.mixins.json
atmospheric-1.20.1-6.1.1.jar                                                          | atmospheric                                              | atmospheric.mixins.json
AttributeFix-Forge-1.20.1-21.0.4.jar                                                  | attributefix                                             | attributefix.mixins.json
autumnity-1.20.1-5.0.2.jar                                                            | autumnity                                                | autumnity.mixins.json
BadOptimizations-2.3.0-1.20.1.jar                                                     | badoptimizations                                         | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json
balm-forge-1.20.1-7.3.35-all.jar                                                      | balm                                                     | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.11+1.20.1.jar                                | kuma_api                                                 | kuma_api.forge.mixins.json, kuma_api.mixins.json
BeansBackpacks-forge-1.20.1-2.0.2.jar                                                 | beansbackpacks                                           | beansbackpacks.mixins.json, beansbackpacks.forge.mixins.json
berry_good-1.20.1-7.0.0.jar                                                           | berry_good                                               | berry_good.mixins.json
better-clouds-1.3.35-beta+1.20.1-forge.rev.edd63c1.jar                                | betterclouds                                             | betterclouds.optional.mixins.json, betterclouds.runtime.mixins.json, betterclouds.required.mixins.json
    /META-INF/jars/api-5.0.0.jar                                                      |                                                          | 
BetterAdvancements-NeoForge-1.20.1-0.4.2.25.jar                                       | betteradvancements                                       | 
bettercombat-forge-1.8.6+1.20.1.jar                                                   | bettercombat                                             | bettercombat.mixins.json
BetterF3-7.0.2-Forge-1.20.1.jar                                                       | betterf3                                                 | betterf3.mixins.json, betterf3.forge.mixins.json
Block+Swap-forge-1.20.1-5.0.0.0.jar                                                   | blockswap                                                | blockswap_forge.mixins.json, blockswap.mixins.json
blueprint-1.20.1-7.1.3.jar                                                            | blueprint                                                | blueprint.mixins.json
blueprintfix-forge-1.0.0-1.20.1.jar                                                   | blueprintfix                                             | mixins.blueprintfix.json
blur-forge-3.1.1.jar                                                                  | blur                                                     | mixins.blur.json
    /META-INF/jars/satin-forge-1.20.1+1.15.0-SNAPSHOT.jar                             | satin                                                    | mixins.satin.client.json
Bookshelf-Forge-1.20.1-20.2.13.jar                                                    | bookshelf                                                | bookshelf.forge.mixins.json, bookshelf.common.mixins.json
botarium-forge-1.20.1-2.3.4.jar                                                       | botarium                                                 | 
bountifulfares-1.2.1-1.20.1.jar                                                       | bountifulfares                                           | bountifulfares.mixins.json
    /META-INF/jars/terraform-wood-api-v1-7.0.1.jar                                    | terraform-wood-api-v1                                    | mixins.terraform-boats.json, mixins.terraform-wood.json, mixins.terraform-signs.json, mixins.terraform-leaves.json
BrewinAndChewin-1.20.1-3.2.1.jar                                                      | brewinandchewin                                          | brewinandchewin.mixins.json
buzzier_bees-1.20.1-6.0.1.jar                                                         | buzzier_bees                                             | buzzier_bees.mixins.json
catalogue-forge-1.20.1-1.8.0.jar                                                      | catalogue                                                | 
cavedelight-1.0.2.jar                                                                 | cavedelight                                              | 
caverns_and_chasms-1.20.1-2.0.0.jar                                                   | caverns_and_chasms                                       | caverns_and_chasms.mixins.json
cc-tweaked-1.20.1-forge-1.115.0.jar                                                   | computercraft                                            | 
    /META-INF/jarjar/cobalt-0.9.5.jar                                                 |                                                          | 
    /META-INF/jarjar/jzlib-1.1.3.jar                                                  |                                                          | 
chalk-1.20.1-1.6.6.jar                                                                | chalk                                                    | 
chatplus-forge-2.7.0.jar                                                              | chatplus                                                 | chatplus-common.mixins.json, chatplus.mixins.json
    /META-INF/jars/vosk-0.3.45.jar                                                    |                                                          | 
chefs-delight-1.0.3-forge-1.20.1.jar                                                  | chefsdelight                                             | 
citadel-2.6.2-1.20.1.jar                                                              | citadel                                                  | citadel.mixins.json
citresewn-1.2.2+1.20.1.jar                                                            | citresewn                                                | citresewn.mixins.json
    /META-INF/jars/citresewn-defaults-1.2.2+1.20.1.jar                                | citresewn-defaults                                       | citresewn-defaults.mixins.json
cloth-config-11.1.136-forge.jar                                                       | cloth_config                                             | 
cloudstorage-1.4.0-1.20.jar                                                           | cloudstorage                                             | citadel.mixins.json, cloudstorage.mixins.json
cobweb-forge-1.20.1-1.0.1.jar                                                         | cobweb                                                   | cobweb.mixins.json, cobweb.forge.mixins.json
collective-1.20.1-8.3.jar                                                             | collective                                               | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json
combatroll-forge-1.3.3+1.20.1.jar                                                     | combatroll                                               | combatroll.mixins.json
CompositeMaterial-Forge-1.20.1-1.2.8.jar                                              | composite_material                                       | 
Connector-1.0.0-beta.46+1.20.1.jar                                                    |                                                          | 
    /META-INF/jarjar/Connector-1.0.0-beta.46+1.20.1-mod.jar                           | connectormod                                             | mixins.connectormod.refmap.json, connectormod.mixins.json
        /META-INF/jarjar/Connector-1.0.0-beta.46+1.20.1-fabricloader.jar              |                                                          | 
        /META-INF/jarjar/runtime-1.0.0+1.20.1.jar                                     |                                                          | adapter.init.mixins.json
ConnectorExtras-1.11.2+1.20.1.jar                                                     | connectorextras                                          | 
    /META-INF/jarjar/terrablender-bridge-1.11.2+1.20.1.jar                            | connectorextras_terrablender_bridge                      | 
    /META-INF/jarjar/rei-bridge-1.11.2+1.20.1.jar                                     | connectorextras_rei_bridge                               | mixins.reibridge.json
    /META-INF/jarjar/reach-entity-attributes-2.4.0.jar                                | reach_entity_attributes                                  | mixins.reach-entity-attributes.json
    /META-INF/jarjar/pehkui-bridge-1.11.2+1.20.1.jar                                  | connectorextras_pehkui_bridge                            | mixins.pehkuibridge.json
    /META-INF/jarjar/modmenu-bridge-1.11.2+1.20.1.jar                                 | connectorextras_modmenu_bridge                           | mixins.connectorextras_modmenu_bridge.json
    /META-INF/jarjar/kubejs-bridge-1.11.2+1.20.1.jar                                  | connectorextras_kubejs_bridge                            | mixins.connectorextras_kubejs_bridge.json
    /META-INF/jarjar/jei-bridge-1.11.2+1.20.1.jar                                     | connectorextras_jei_bridge                               | mixins.jeibridge.json
    /META-INF/jarjar/geckolib-fabric-compat-1.11.2+1.20.1.jar                         | connectorextras_geckolib_fabric_compat                   | mixins.connectorextras_geckolib_fabric_compat.json
    /META-INF/jarjar/forgeconfigapiport-1.11.2+1.20.1.jar                             | forgeconfigapiport                                       | 
    /META-INF/jarjar/extras-utils-1.11.2+1.20.1.jar                                   |                                                          | 
    /META-INF/jarjar/energy-bridge-1.11.2+1.20.1.jar                                  | connectorextras_energy_bridge                            | 
    /META-INF/jarjar/emi-bridge-1.11.2+1.20.1.jar                                     | connectorextras_emi_bridge                               | mixins.emibridge.json
    /META-INF/jarjar/architectury-bridge-1.11.2+1.20.1.jar                            | connectorextras_architectury_bridge                      | mixins.connectorextras_architectury_bridge.refmap.json, connectorextras_architectury_bridge.mixins.json
    /META-INF/jarjar/amecsapi-1.5.3+mc1.20-pre1.jar                                   | amecsapi                                                 | amecsapi.mixins.json
continuity-3.0.0+1.20.1.forge.jar                                                     | continuity                                               | continuity.mixins.json
CopperPot-1.20.1-2.0.3.jar                                                            | copperpot                                                | 
corpse-forge-1.20.1-1.0.21.jar                                                        | corpse                                                   | 
Cosmic_Horizons_0.0.7.3-forge-1.20.1.jar                                              | cosmos                                                   | mixins.cosmos.refmap.json, mixins.cosmos.json
cosmopolitan-1.20.1-1.0.5.jar                                                         | cosmopolitan                                             | cosmopolitan.mixins.json
CrashAssistant-forge-1.19-1.20.1-1.9.15.jar                                           | crash_assistant                                          | 
    /META-INF/jarjar/app.jar                                                          |                                                          | 
    /META-INF/jarjar/crash_assistant-forge.jar                                        | crash_assistant                                          | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
create-1.20.1-0.5.1.j.jar                                                             | create                                                   | create.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                      |                                                          | 
    /META-INF/jarjar/flywheel-forge-1.20.1-0.6.11-13.jar                              | flywheel                                                 | flywheel.mixins.json
createdieselgenerators-1.20.1-1.2i.jar                                                | createdieselgenerators                                   | createdieselgenerators.mixins.json
CreativeCore_FORGE_v2.12.32_mc1.20.1.jar                                              | creativecore                                             | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json
cullleaves-forge-3.2.0.jar                                                            | cullleaves                                               | cullleaves.mixins.json
curios-forge-5.14.1+1.20.1.jar                                                        | curios                                                   | curios.mixins.json
cwb-forge-3.0.0+mc1.20.jar                                                            | cubes_without_borders                                    | cubes-without-borders.mixins.json
cyanide-forge-1.20.1-4.1.1.jar                                                        | cyanide                                                  | cyanide.mixins.json, cyanide.common.mixins.json
Darker Depths-1.20.1-2.0.4.jar                                                        | darkerdepths                                             | darkerdepths.mixins.json
darkness-1.20.1-1.0.1.jar                                                             | darkness                                                 | darkness.client.json, mixin.refmap.json
Debugify-1.20.1+2.0.jar                                                               | debugify                                                 | debugify.mixins.json, debugify.client.mixins.json
deeper-oceans-2.0.0-forge-1.20.1.jar                                                  | deeper_oceans                                            | deeper_oceans.mixins.json
DeepNetherPortal-v1.0.4_Forge-1.20.1.jar                                              | deepnether (MCreator mod)                                | 
DefaultWorldType-1.20.1-4.0.4.jar                                                     | defaultworldtype                                         | defaultworldtype.mixins.json
dense-flowers-0.2.1+mc1.20.1.jar                                                      | dense-flowers                                            | dense-flowers.mixins.json
diet-forge-2.1.1+1.20.1.jar                                                           | diet                                                     | diet.mixins.json
    /META-INF/jarjar/spectrelib-forge-0.13.14+1.20.1.jar                              | spectrelib                                               | 
do_a_barrel_roll-forge-3.5.6+1.20.1.jar                                               | do_a_barrel_roll                                         | do_a_barrel_roll.forge.mixins.json, do_a_barrel_roll.mixins.json
dolt_mod_how-1.20.1-2.4.2-all.jar                                                     | dolt_mod_how                                             | dolt_mod_how.mixins.json
Doom & Gloom 1.20.1.jar                                                               | doom_and_gloom                                           | doom_and_gloom.mixins.json
    /META-INF/jarjar/hats-forge-1.20.1-1.1.2.jar                                      | galena_hats                                              | galena_hats.mixins.json
drippyloadingscreen_forge_3.0.12_MC_1.20.1.jar                                        | drippyloadingscreen                                      | drippyloadingscreen.forge.mixins.json, drippyloadingscreen.mixins.json
Dungeon Now Loading-forge-1.20.1-2.0.jar                                              | dungeonnowloading                                        | dungeonnowloading.mixins.json, dungeonnowloading.forge.mixins.json
dungeons-and-taverns-3.0.3.f.jar                                                      | mr_dungeons_andtaverns                                   | 
dynamic-fps-3.9.5+minecraft-1.20.0-forge.jar                                          | dynamic_fps                                              | dynamic_fps-common.mixins.json, dynamic_fps.mixins.json
    /META-INF/jars/battery-1.3.0.jar                                                  |                                                          | 
dynamiccrosshair-9.8+1.20.1-forge.jar                                                 | dynamiccrosshair                                         | dynamiccrosshair.compat.mixins.json, dynamiccrosshair.mixins.json
    /META-INF/jars/dynamiccrosshair-api-9.8+1.20.1-forge.jar                          | dynamiccrosshairapi                                      | 
    /META-INF/jars/libbamboo-2.16+1.20.1-forge.jar                                    | libbamboo                                                | libbamboo.mixins.json
e4mc_minecraft-forge-5.4.1.jar                                                        | e4mc_minecraft                                           | e4mc_minecraft.mixins.json
EasyAnvils-v8.0.2-1.20.1-Forge.jar                                                    | easyanvils                                               | easyanvils.common.mixins.json, easyanvils.forge.mixins.json
Ecliptic-Seasons-MultiMod-Patch-1.20.1-forge-0.19.1-all.jar                           | eclipticseasons_multimodpatch                            | eclipticseasons_multimodpatch.mixins.json
EclipticSeasons-1.20.1-forge-0.12.0-pre19-all.jar                                     | eclipticseasons                                          | eclipticseasons.mixins.json
eidolon_repraised-1.20.1-0.3.9.0.jar                                                  | eidolon                                                  | eidolon.mixins.json
ElysiumAPI-1.20.1-1.1.3.jar                                                           | elysium_api                                              | mixins.elysium_api.refmap.json, mixins.elysium_api.json
embeddium-0.3.31+mc1.20.1.jar                                                         | embeddium                                                | embeddium.mixins.json
enchancement-1.20-26.jar                                                              | enchancement                                             | enchancement.mixins.json
    /META-INF/jars/cardinal-components-base-5.2.2.jar                                 | cardinal-components-base                                 | 
    /META-INF/jars/cardinal-components-entity-5.2.2.jar                               | cardinal-components-entity                               | mixins.cardinal_components_entity.json
    /META-INF/jars/cardinal-components-world-5.2.2.jar                                | cardinal-components-world                                | mixins.cardinal_components_world.json
    /META-INF/jars/midnightlib-1.4.1-fabric.jar                                       | midnightlib                                              | midnightlib.mixins.json
    /META-INF/jars/step-height-entity-attribute-25dabcdad7.jar                        | step-height-entity-attribute                             | stepheightentityattribute.mixins.json
endergetic-1.20.1-5.0.1.jar                                                           | endergetic                                               | endergetic.mixins.json
endrem_forge-5.3.3-R-1.20.1.jar                                                       | endrem                                                   | endrem.mixins.json
enhanced_mushrooms-5.0.0.jar                                                          | enhanced_mushrooms                                       | 
enlightend-5.0.14-1.20.1.jar                                                          | enlightened_end (MCreator mod)                           | 
entity_model_features_forge_1.20.1-2.4.1.jar                                          | entity_model_features                                    | entity_model_features-common.mixins.json, entity_model_features-optional.mixins.json, entity_model_features.mixins.json
entity_texture_features_forge_1.20.1-6.2.9.jar                                        | entity_texture_features                                  | entity_texture_features-forge.mixins.json, entity_texture_features-common.mixins.json
    /META-INF/jars/httpmime-4.5.10.jar                                                |                                                          | 
entityculling-forge-1.8.2-mc1.20.1.jar                                                | entityculling                                            | entityculling.mixins.json, entityculling.refmap.mixins.json
    /META-INF/jars/TRender-1.0.5-1.20.1-forge-SNAPSHOT.jar                            | trender                                                  | trender.mixins.json, trender.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.3-1.20.1-forge-SNAPSHOT.jar                         | transition                                               | transition.mixins.json, transition.refmap.mixins.json
environmental-1.20.1-4.1.0.jar                                                        | environmental                                            | environmental.mixins.json
Etcetera-1.20.1-1.1.3-Forge.jar                                                       | etcetera                                                 | etcetera.mixins.json
etched-3.0.4.jar                                                                      | etched                                                   | etched.mixins.json
eureka-1201-1.5.1-beta.3.jar                                                          | vs_eureka                                                | vs_eureka-common.mixins.json, vs_eureka.mixins.json
everycomp-1.20-2.7.19.jar                                                             | everycomp                                                | everycomp-common.mixins.json
everycompat_just_enough_wood-1.20.1-forge-1.0.1-all.jar                               | everycompat_just_enough_wood                             | everycompat_just_enough_wood.mixins.json
explosive-enhancement-1.2.1-1.20.x.jar                                                | explosiveenhancement                                     | explosiveenhancement.mixins.json
exposure-1.20.1-1.7.16-forge.jar                                                      | exposure                                                 | exposure.mixins.json, exposure-common.mixins.json
Exquisito-1.20.1-2.5.3.jar                                                            | exquisito                                                | exquisito.mixins.json
extra_compat-1.5.25.jar                                                               | extra_compat                                             | 
extraalchemy-fabric-1.20.1-1.10.0.jar                                                 | extraalchemy                                             | 
    /META-INF/jars/cloth-config-fabric-11.1.106.jar                                   | cloth-config                                             | 
        /META-INF/jars/basic-math-0.6.1.jar                                           | cloth-basic-math                                         | 
fabric-api-0.91.0+1.20.1.jar                                                          | fabric-api                                               | 
    /META-INF/jars/fabric-api-base-0.91.0.jar                                         | fabric-api-base                                          | 
    /META-INF/jars/fabric-api-lookup-api-v1-0.91.0.jar                                | fabric-api-lookup-api-v1                                 | fabric-api-lookup-api-v1.mixins.json
    /META-INF/jars/fabric-biome-api-v1-0.91.0.jar                                     | fabric-biome-api-v1                                      | fabric-biome-api-v1.mixins.json
    /META-INF/jars/fabric-block-api-v1-0.91.0.jar                                     | fabric-block-api-v1                                      | fabric-block-api-v1.mixins.json
    /META-INF/jars/fabric-block-view-api-v2-0.91.0.jar                                | fabric-block-view-api-v2                                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jars/fabric-blockrenderlayer-v1-0.91.0.jar                              | fabric-blockrenderlayer-v1                               | fabric-blockrenderlayer-v1.mixins.json
    /META-INF/jars/fabric-client-tags-api-v1-0.91.0.jar                               | fabric-client-tags-api-v1                                | 
    /META-INF/jars/fabric-command-api-v1-0.91.0.jar                                   | fabric-command-api-v1                                    | 
    /META-INF/jars/fabric-command-api-v2-0.91.0.jar                                   | fabric-command-api-v2                                    | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-commands-v0-0.91.0.jar                                      | fabric-commands-v0                                       | 
    /META-INF/jars/fabric-containers-v0-0.91.0.jar                                    | fabric-containers-v0                                     | fabric-containers-v0.accurate.mixins.json, fabric-containers-v0.mixins.json
    /META-INF/jars/fabric-content-registries-v0-0.91.0.jar                            | fabric-content-registries-v0                             | fabric-content-registries-v0.mixins.json
    /META-INF/jars/fabric-convention-tags-v1-0.91.0.jar                               | fabric-convention-tags-v1                                | 
    /META-INF/jars/fabric-crash-report-info-v1-0.91.0.jar                             | fabric-crash-report-info-v1                              | fabric-crash-report-info-v1.mixins.json
    /META-INF/jars/fabric-data-generation-api-v1-0.91.0.jar                           | fabric-data-generation-api-v1                            | fabric-data-generation-api-v1.mixins.json, fabric-data-generation-api-v1.client.mixins.json
    /META-INF/jars/fabric-dimensions-v1-0.91.0.jar                                    | fabric-dimensions-v1                                     | fabric-dimensions-v1.mixins.json
    /META-INF/jars/fabric-entity-events-v1-0.91.0.jar                                 | fabric-entity-events-v1                                  | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-0.91.0.jar                            | fabric-events-interaction-v0                             | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
    /META-INF/jars/fabric-events-lifecycle-v0-0.91.0.jar                              | fabric-events-lifecycle-v0                               | 
    /META-INF/jars/fabric-game-rule-api-v1-0.91.0.jar                                 | fabric-game-rule-api-v1                                  | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
    /META-INF/jars/fabric-item-api-v1-0.91.0.jar                                      | fabric-item-api-v1                                       | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json
    /META-INF/jars/fabric-item-group-api-v1-0.91.0.jar                                | fabric-item-group-api-v1                                 | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json
    /META-INF/jars/fabric-key-binding-api-v1-0.91.0.jar                               | fabric-key-binding-api-v1                                | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/fabric-keybindings-v0-0.91.0.jar                                   | fabric-keybindings-v0                                    | 
    /META-INF/jars/fabric-lifecycle-events-v1-0.91.0.jar                              | fabric-lifecycle-events-v1                               | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jars/fabric-loot-api-v2-0.91.0.jar                                      | fabric-loot-api-v2                                       | fabric-loot-api-v2.mixins.json
    /META-INF/jars/fabric-loot-tables-v1-0.91.0.jar                                   | fabric-loot-tables-v1                                    | fabric-loot-tables-v1.mixins.json
    /META-INF/jars/fabric-message-api-v1-0.91.0.jar                                   | fabric-message-api-v1                                    | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json
    /META-INF/jars/fabric-mining-level-api-v1-0.91.0.jar                              | fabric-mining-level-api-v1                               | fabric-mining-level-api-v1.mixins.json
    /META-INF/jars/fabric-model-loading-api-v1-0.91.0.jar                             | fabric-model-loading-api-v1                              | fabric-model-loading-api-v1.mixins.json
    /META-INF/jars/fabric-models-v0-0.91.0.jar                                        | fabric-models-v0                                         | 
    /META-INF/jars/fabric-networking-api-v1-0.91.0.jar                                | fabric-networking-api-v1                                 | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-networking-v0-0.91.0.jar                                    | fabric-networking-v0                                     | 
    /META-INF/jars/fabric-object-builder-api-v1-0.91.0.jar                            | fabric-object-builder-api-v1                             | fabric-object-builder-v1.mixins.json, fabric-object-builder-v1.client.mixins.json
    /META-INF/jars/fabric-particles-v1-0.91.0.jar                                     | fabric-particles-v1                                      | fabric-particles-v1.client.mixins.json
    /META-INF/jars/fabric-recipe-api-v1-0.91.0.jar                                    | fabric-recipe-api-v1                                     | fabric-recipe-api-v1.mixins.json
    /META-INF/jars/fabric-registry-sync-v0-0.91.0.jar                                 | fabric-registry-sync-v0                                  | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
    /META-INF/jars/fabric-renderer-api-v1-0.91.0.jar                                  | fabric-renderer-api-v1                                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jars/fabric-renderer-indigo-0.91.0.jar                                  | fabric-renderer-indigo                                   | fabric-renderer-indigo.mixins.json
    /META-INF/jars/fabric-renderer-registries-v1-0.91.0.jar                           | fabric-renderer-registries-v1                            | 
    /META-INF/jars/fabric-rendering-data-attachment-v1-0.91.0.jar                     | fabric-rendering-data-attachment-v1                      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jars/fabric-rendering-fluids-v1-0.91.0.jar                              | fabric-rendering-fluids-v1                               | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jars/fabric-rendering-v0-0.91.0.jar                                     | fabric-rendering-v0                                      | 
    /META-INF/jars/fabric-rendering-v1-0.91.0.jar                                     | fabric-rendering-v1                                      | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-resource-conditions-api-v1-0.91.0.jar                       | fabric-resource-conditions-api-v1                        | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.91.0.jar                               | fabric-resource-loader-v0                                | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-screen-api-v1-0.91.0.jar                                    | fabric-screen-api-v1                                     | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-screen-handler-api-v1-0.91.0.jar                            | fabric-screen-handler-api-v1                             | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jars/fabric-sound-api-v1-0.91.0.jar                                     | fabric-sound-api-v1                                      | fabric-sound-api-v1.mixins.json
    /META-INF/jars/fabric-transfer-api-v1-0.91.0.jar                                  | fabric-transfer-api-v1                                   | fabric-transfer-api-v1.mixins.json
    /META-INF/jars/fabric-transitive-access-wideners-v1-0.91.0.jar                    | fabric-transitive-access-wideners-v1                     | 
fabric-api-0.92.6+1.11.14+1.20.1.jar                                                  | fabric_api                                               | 
    /META-INF/jarjar/fabric-transitive-access-wideners-v1-4.3.2+1880499877.jar        | fabric_transitive_access_wideners_v1                     | 
    /META-INF/jarjar/fabric-transfer-api-v1-3.3.6+631c9cd677.jar                      | fabric_transfer_api_v1                                   | fabric-transfer-api-v1.mixins.json
    /META-INF/jarjar/fabric-sound-api-v1-1.0.14+4f23bd8477.jar                        | fabric_sound_api_v1                                      | fabric-sound-api-v1.mixins.json
    /META-INF/jarjar/fabric-screen-handler-api-v1-1.3.33+561530ec77.jar               | fabric_screen_handler_api_v1                             | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jarjar/fabric-screen-api-v1-2.0.9+45a670a577.jar                        | fabric_screen_api_v1                                     | fabric-screen-api-v1.mixins.json
    /META-INF/jarjar/fabric-resource-loader-v0-0.11.12+4b4151c077.jar                 | fabric_resource_loader_v0                                | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jarjar/fabric-resource-conditions-api-v1-2.3.9+996d00b277.jar           | fabric_resource_conditions_api_v1                        | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-v1-3.0.9+66e9a48f77.jar                         | fabric_rendering_v1                                      | fabric-rendering-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-fluids-v1-3.0.29+4ac5e37a77.jar                 | fabric_rendering_fluids_v1                               | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.39+a6081afc77.jar        | fabric_rendering_data_attachment_v1                      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jarjar/fabric-renderer-indigo-1.5.3+b5b2da4177.jar                      | fabric_renderer_indigo                                   | fabric-renderer-indigo.mixins.json
    /META-INF/jarjar/fabric-renderer-api-v1-3.2.2+cf68abbe77.jar                      | fabric_renderer_api_v1                                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jarjar/fabric-registry-sync-v0-2.3.6+1c0ea72177.jar                     | fabric_registry_sync_v0                                  | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
